id,label,importance,triviality,loc,complexity,num_funcs,num_params,num_calls,num_returns,num_assigns,num_imports,doc_len,keyword_matches,one_liner,has_type_annotations
code:fastapi/exception_handlers.py:http_exception_handler:10,http_exception_handler,0.3287,0.6713,6,0.0,0,0,0,0,0,0,0,3,0,1
code:fastapi/exception_handlers.py:request_validation_exception_handler:19,request_validation_exception_handler,0.3287,0.6713,6,0.0,0,0,0,0,0,0,0,3,0,1
code:fastapi/responses.py:ORJSONResponse:35,ORJSONResponse,0.3285,0.6715,10,0.0,0,0,0,0,0,0,0,4,0,1
code:fastapi/params.py:Param:24,Param,0.3274,0.6726,108,0.0,0,0,0,0,0,0,0,20,0,1
code:fastapi/security/oauth2.py:OAuth2PasswordRequestFormStrict:151,OAuth2PasswordRequestFormStrict,0.3274,0.6726,135,0.0,0,0,0,0,0,0,0,24,0,1
code:fastapi/params.py:Body:478,Body,0.3265,0.6735,111,0.0,0,0,0,0,0,0,0,22,0,1
code:fastapi/params.py:Header:308,Header,0.3257,0.6743,82,0.0,0,0,0,0,0,0,0,19,0,1
code:fastapi/params.py:Path:138,Path,0.3257,0.6743,82,0.0,0,0,0,0,0,0,0,19,0,1
code:fastapi/params.py:Cookie:394,Cookie,0.3256,0.6744,80,0.0,0,0,0,0,0,0,0,19,0,1
code:fastapi/params.py:Query:224,Query,0.3256,0.6744,80,0.0,0,0,0,0,0,0,0,19,0,1
code:fastapi/params.py:File:679,File,0.3251,0.6749,81,0.0,0,0,0,0,0,0,0,20,0,1
code:fastapi/params.py:Form:595,Form,0.3251,0.6749,81,0.0,0,0,0,0,0,0,0,20,0,1
code:fastapi/openapi/models.py:Config:232,Config,0.3001,0.6999,1,0.0,0,0,0,0,0,0,0,0,1,0
code:fastapi/openapi/models.py:Config:63,Config,0.3001,0.6999,1,0.0,0,0,0,0,0,0,0,0,1,0
code:fastapi/openapi/models.py:Header:278,Header,0.3001,0.6999,1,0.0,0,0,0,0,0,0,0,0,1,0
code:fastapi/openapi/models.py:OAuthFlowClientCredentials:383,OAuthFlowClientCredentials,0.3001,0.6999,1,0.0,0,0,0,0,0,0,0,0,1,0
code:fastapi/openapi/models.py:OAuthFlowImplicit:375,OAuthFlowImplicit,0.3001,0.6999,1,0.0,0,0,0,0,0,0,0,0,1,0
code:fastapi/openapi/models.py:OAuthFlowPassword:379,OAuthFlowPassword,0.3001,0.6999,1,0.0,0,0,0,0,0,0,0,0,1,0
code:fastapi/openapi/models.py:Reference:101,Reference,0.3001,0.6999,1,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/applications.py,applications.py,0.3,0.7,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/middleware/__init__.py,__init__.py,0.3,0.7,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/openapi/__init__.py,__init__.py,0.3,0.7,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/openapi/models.py,models.py,0.3,0.7,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/routing.py,routing.py,0.3,0.7,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/security/__init__.py,__init__.py,0.3,0.7,0,0.0,0,0,0,0,0,0,0,0,1,0
code:fastapi/responses.py:render:30,render,0.243,0.757,2,1.0,1,2,0,0,0,0,0,0,1,1
code:fastapi/openapi/utils.py:generate_operation_summary:220,generate_operation_summary,0.2393,0.7607,3,2.0,1,0,0,1,0,0,0,2,1,1
code:fastapi/middleware/asyncexitstack.py:__call__:14,__call__,0.2355,0.7645,3,1.0,0,0,1,0,1,0,0,0,1,1
code:fastapi/security/base.py:SecurityBase:3,SecurityBase,0.2353,0.7647,2,1.0,0,0,0,0,0,0,0,0,1,1
code:fastapi/security/api_key.py:__call__:109,__call__,0.2342,0.7658,2,1.0,0,0,1,0,1,0,0,2,1,1
code:fastapi/security/api_key.py:__call__:197,__call__,0.2342,0.7658,2,1.0,0,0,1,0,1,0,0,2,1,1
code:fastapi/security/api_key.py:__call__:285,__call__,0.2342,0.7658,2,1.0,0,0,1,0,1,0,0,2,1,1
code:fastapi/exceptions.py:errors:152,errors,0.2301,0.7699,1,0.0,0,0,0,0,0,0,0,0,1,1
code:fastapi/encoders.py:isoformat:30,isoformat,0.2296,0.7704,2,0.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/params.py:__repr__:134,__repr__,0.2295,0.7705,1,0.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/params.py:__repr__:591,__repr__,0.2295,0.7705,1,0.0,0,0,0,0,0,0,0,1,1,1
code:fastapi/utils.py:get_path_param_names:58,get_path_param_names,0.2277,0.7723,1,0.0,0,0,0,0,0,0,0,4,1,1
code:fastapi/exceptions.py:FastAPIError:142,FastAPIError,0.1503,0.8497,3,0.0,0,0,0,0,0,0,0,0,1,0
code:fastapi/exceptions.py:WebSocketRequestValidationError:162,WebSocketRequestValidationError,0.1501,0.8499,1,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/encoders.py,encoders.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/exception_handlers.py,exception_handlers.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/exceptions.py,exceptions.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/logger.py,logger.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/middleware/asyncexitstack.py,asyncexitstack.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/middleware/cors.py,cors.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/middleware/gzip.py,gzip.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/middleware/httpsredirect.py,httpsredirect.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/middleware/trustedhost.py,trustedhost.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/middleware/wsgi.py,wsgi.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/openapi/constants.py,constants.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/openapi/docs.py,docs.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/openapi/utils.py,utils.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/param_functions.py,param_functions.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/params.py,params.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/requests.py,requests.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/responses.py,responses.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/security/api_key.py,api_key.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/security/base.py,base.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/security/http.py,http.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/security/oauth2.py,oauth2.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/security/open_id_connect_url.py,open_id_connect_url.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/security/utils.py,utils.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/staticfiles.py,staticfiles.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/templating.py,templating.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/testclient.py,testclient.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/types.py,types.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/utils.py,utils.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
file:fastapi/websockets.py,websockets.py,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
folder:fastapi,fastapi,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
folder:fastapi/middleware,middleware,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
folder:fastapi/openapi,openapi,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
folder:fastapi/security,security,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
workspace:root,fastapi,0.15,0.85,0,0.0,0,0,0,0,0,0,0,0,1,0
